,train_id,name,item_condition_id,category_name,brand_name,price,shipping,item_description
1158796,1158796,Nike red dri fit flow T tank size L,2,Women/Athletic Apparel/Shirts & Tops,Nike,17.0,0,Nike red dri fit flow T tank size L Like new
1223694,1223694,RALPH LAUREN SUNGLASSES with CASE,2,Women/Women's Accessories/Sunglasses,Ralph Lauren,11.0,1,"Excellent condition! RALPH by Ralph Lauren Square shape, polarized lenses, SUNGLASSES with CASE This is the best price for sunglasses with polarized lenses and a case on this site. Go ahead and sort. I don't think that you will find a better deal. Discounts on multiple items. 25% off two or more items. Free shipping on three or more. Just ask for a bundle. My handmade jewelry is always free shipping. Thank you for shopping!"
914757,914757,SUPER SALE • BUNDLE,2,Women/Tops & Blouses/Blouse,,10.0,1,"LAST CHANCE FOR THESE ITEMS BEING DONATED ON FRIDAY 8/11 SIZE: small/ xs CHECKOUT MY OTHER ITEMS TO BUNDLE tags: pacsun, brandy melville, kendall and kylie, forever 21"
1066221,1066221,WonderWink Black Scrub Pants - M,2,Women/Pants/Casual Pants,,16.0,0,WonderWink Black Scrub Pants Size Medium Tall In perfect condition !
321195,321195,Vintage Mexico sombrero like new,2,Men/Men's Accessories/Hats,,20.0,1,"Pet free,smoke free,no holes,burns or marker,pet free,smoke free, vintage,measures 7 inches across inside,Sombreros Gonzales"
779540,779540,Womens Harley-Davidson Shirt,2,Women/Tops & Blouses/Button Down Shirt,Harley-Davidson,30.0,1,Women's Harley-Davidson pink label button up shirt. Size large. Very good condition. Only worn twice.
295017,295017,"Myrtle Beach, South Carolina shorts!",2,Women/Athletic Apparel/Shorts,,5.0,1,"Super cute, never worn!"
370596,370596,IPhone6/6s Otterbox defender case.,3,"Electronics/Cell Phones & Accessories/Cases, Covers & Skins",,11.0,1,"Pink&orange 100% authentic No significant damage or scratches Case is used, Free shipping Ships within 24 hrs of purchase"
261466,261466,KD V Hulk,2,Men/Shoes/Athletic,Nike,31.0,0,"Hardly worn, does not have original box."
56148,56148,Brand new sandals size 6c,1,Kids/Girls 0-24 Mos/Shoes,Gymboree,17.0,1,Brand new
1317941,1317941,Gold Victoria Secret Slides,2,Women/Shoes/Sandals,PINK,30.0,0,"Super gorgeous and fun for the summer This is New without the Tag never been worn This is the size small S may fall between 6,6.5 and 7"
9342,9342,Walking Dead - 16 Books 153 -168,1,Vintage & Collectibles/Book/Comics,,34.0,0,"16 Comics 153-168, whisper war plus more. A really good story run. All bagged and boarded"
520989,520989,"Pendant bundle Moss Agate, labradorite",1,Women/Jewelry/Necklaces,,46.0,0,Handmade natural semi precious gemstones. Brand new never worn. Sterling silver 925. Ask about our quantity discount of 100 pieces or more. #jewelry #stones #angelicattitudes #energy #sterling #gems #gemstones #crystals #healing #druzy #rockhound #lapidary #metalsmith #silversmith
1444228,1444228,2 iPhone 7 Adapters,1,Electronics/Cell Phones & Accessories/Cables & Adapters,,10.0,1,Lightning to 3.5mm Headphone Jack AUX Adapter Cable For Apple iPhone 7 / 7 Plus Checkout ALL of our listings for new colors/models - FREE SHIPPING ALSO WORKS WITH IPHONE 6/6S AND 6+/6S+ PLEASE NOTE: This adapter will ONLY work with your headphone speakers / home stereo / car stereo. You WILL NOT be able to use your microphone or the volume button on your headphones.
1160075,1160075,Bundle for stuffnmore,1,Women/Other/Other,,30.0,0,"Nkotb poster book, yo yo, notebook, folder, school kit, coloring book, activity book, paint n' marker book"
564850,564850,iPhone 6/6S plus LED flash light up case,1,"Electronics/Cell Phones & Accessories/Cases, Covers & Skins",,8.0,1,"IPHONE 6/6S LED Flash Light Up Remind Incoming Call Cover Case COLOR IS ACCORDING TO THE LAST PICTURE! Message or comment if you want a different color!!! Check our other listings for other available colors: Purple, Blue, Red, Green, gold, clear. ***SETTING--GENERAL--ACCESSIBILITY--LED FLASH ALERT** PHONE WILL NOT LIGHT UP BY ITSELF!! MUST CHANGE SETTING!! LED Flash Light UP Remind Incoming Call Cover Case Skin For iPhone 6 iPhone 6s Also available for 6+/6S+ PLUS, plz mesg me"
565061,565061,Heart locking necklace,3,Women/Jewelry/Necklaces,,5.0,1,No description yet
42616,42616,Disney's Frozen Anna Halloween costume,3,Home/Seasonal Décor/Halloween,Disney,12.0,1,Frozen Anna Halloween party costume or dress up. Sz is 7/8 girls. Has a removable cape. Long length. Check out my other items. Bundle and save. Thanks
1348321,1348321,Women's athletic sweater,3,Vintage & Collectibles/Clothing/Sweater,,9.0,0,Size medium Grey Good condition
1278932,1278932,NYX Large Shine Killer 1.69oz NEW,1,Beauty/Makeup/Face,NYX,12.0,1,Free Shipping Primer
128770,128770,Size 4 new addidas,2,Kids/Girls (4+)/Shoes,Adidas,14.0,0,Size 4 baby addidas(Samoas) new
1236393,1236393,Woman's Sketchers Go Walks,3,Women/Shoes/Loafers & Slip-Ons,SKECHERS,31.0,0,These are super cute!!! Excellent condition. They were worn two times. The only thing is dirt on bottom soles. Outside and inside of shoes look new. These retail for [rm]
246555,246555,LipSense Nude,1,Beauty/Makeup/Lips,SeneGence,21.0,1,Multiple Available!!
292287,292287,Green Patterned Shorts SIZE 12,1,Women/Athletic Apparel/Shorts,Merona,10.0,0,New green patterned shorts.
612506,612506,Deer Antlers Natural Brown/tan 6 points,3,Home/Home Décor/Home Décor Accents,,20.0,1,Natural deer horns brown/tan with 6 points
284187,284187,TC lularoe leggings ballet ballerina,1,"Women/Athletic Apparel/Pants, Tights, Leggings",,34.0,0,NWT ships within 24 hours of purchase (unless I am on vacation) Bundle 2+ items and get free shipping.
217496,217496,Rae Dunn Tools,1,Home/Kitchen & Dining/Kitchen Utensils & Gadgets,Rae Dunn,70.0,0,Brand New Rae Dunn Tools Experienced Shipper
1220807,1220807,W Roshe one hi ankle boots,1,Women/Shoes/Boots,Nike,41.0,0,New Reg.150.00
1129323,1129323,VS MEDIUM CHEEKY PANTY BUNDLE,1,Women/Underwear/Panties,Victoria's Secret,44.0,0,BRAND NEW WITH TAGS LATEST COLLECTION IN STORE & ONLINE RETAIL 3/35 PRICE FIRM
58259,58259,COACH,3,Women/Shoes/Sandals,Coach,24.0,0,Nice coach sanders worn once size 81/2 ankle scraps
1386580,1386580,Fleur de lis shower curtain holders,2,Home/Bath/Bathroom Accessories,,21.0,0,Set of 12 - great condition
1395962,1395962,VS PINK legging bundle small,3,"Women/Athletic Apparel/Pants, Tights, Leggings",PINK,30.0,1,I have quite a bit to upload! Follow me for more listed items to come. I bundle! Please read my bio on my home page to know how! Thanks for shopping and please any questions don't hesitate to ask! :-) --------------Item Description------------ All size small Grey pairs only worn a couple times Burgundy pair have some pilling on inner thighs as they were worn often Price is for all 3
1343851,1343851,MONSTER dvd Freeship!,1,Electronics/Media/DVD,,7.0,1,"Bought movie to study monologue for drama class, have no more use for it. Watched only a couple times."
36136,36136,SydneyToGo Duffle,2,Vintage & Collectibles/Bags and Purses/Luggage,,12.0,0,Adorable duffle bag by Sydney To Go. In excellent condition like new! Ships today
1270052,1270052,Vs bombshell luxe perfume,1,Beauty/Fragrance/Women,Victoria's Secret,116.0,0,BRAND NEW. ONLY OPENED TO SHOW PICS. NEVER SPRAYED. being packed right back up as I type. [rm] Multicolored.
580514,580514,Nike Paul George Ones Size 9,2,Kids/Boys 2T-5T/Shoes,Nike,36.0,0,there in great conditions almost ds
716415,716415,Lularoe Xs nwt charcoal Carly,1,Women/Dresses/Asymmetrical Hem,,53.0,1,Ribbed charcoal Carly- never worn
61673,61673,NIKE sports bra,2,Women/Athletic Apparel/Sports Bras,Nike,20.0,0,Almost brand new
548360,548360,Sperry Top Sider size 7,1,Women/Shoes/Loafers & Slip-Ons,,41.0,0,I bought these and they are just too small for me. I'm so sad!! They need a good home though so up for sale. Smoke free home. Any questions please ask
870820,870820,9.5 H&M 10 converse Kids high top shoes,3,Kids/Boys 2T-5T/Shoes,,9.0,0,Navy blue Converse All Star Shoes Pre loved H&M are 9.5 high tops
331330,331330,NIP kinect adventures,1,Electronics/Video Games & Consoles/Games,Xbox,3.0,1,New in package connect adventures for Xbox 360 .
1096463,1096463,Victoria Secret Sport Strappy Bra Black,1,Women/Athletic Apparel/Sports Bras,Victoria's Secret,24.0,0,Victoria Secret Sports Bra. Strappy. Size 36DD. New with Tags. Black. Super Sexy & Fun Bra. See Pics for Details. No Trades. No Free Ship.
786770,786770,Bundle,2,Women/Athletic Apparel/Shorts,Lululemon,24.0,0,Reversible. Teal & plum one side. All plum other side. Size 4. No flaws.
929298,929298,Eyelash bralette (L),1,Women/Athletic Apparel/Sports Bras,Victoria's Secret,28.0,0,Brand new with tags Size Large (A-C) Color: black Lacey eyelash bralette Victoria's Secret PINK
29329,29329,EOS (2) for[rm],1,Beauty/Skin Care/Lips,eos,10.0,1,EOS Lip Sphere Balm Egg Shape Rare Black Revo Shimmer Pearl .25 ounce Pearl & shimmering pink
190288,190288,Nike Sweatshirt,2,"Men/Sweats & Hoodies/Sweatshirt, Pullover",Nike,12.0,0,Pullover Sweatshirt
594246,594246,American Apparel maroon jacket,3,Women/Athletic Apparel/Jackets,American Apparel,10.0,1,Size extra small
1342614,1342614,"Halloween Sign, Farmhouse Sign",1,Home/Home Décor/Home Décor Accents,Rae Dunn,19.0,0,"Boo sign - Approx 7"" x 9"""
1474010,1474010,Timberland 6 inch Grey Nubuck men's,1,Men/Shoes/Boots,Timberland,77.0,1,"FAST AND FREE SHIPPING!!! Brand-new timberlands still in the original box. Very durable and waterproof. Hey rugged boot for the manliest of men! 9, 10, 10.5"
183779,183779,Cookie for Lorena,2,Vintage & Collectibles/Antique/Collectibles,,7.0,1,Season 3 Shopkins
1107812,1107812,Honest company size 1 diapers,2,Kids/Diapering/Disposable Diapers,,13.0,1,It has been opened and 2 diapers were used so this is for 44 size 1 diapers.
1023608,1023608,Pink Beauty Blender,1,Beauty/Makeup/Brushes & Applicators,,10.0,1,New in package
599241,599241,NEW Bareminerals Cosmetic Bag,1,Women/Women's Handbags/Cosmetic Bags,Bare Minerals,10.0,0,"Never used Bareminerals makeup bag! Can also use as a clutch, beautiful rose gold color! I took a picture with the Bareminerals deluxe makeup (2.5 times the normal size) and a makeup brush to reference size, this bag can hold a lot! (Makeup not included). Please feel free to ask questions and make offers. Great deals on bundles! :) Smoke free home."
988799,988799,Vera Bradley breakaway lanyard,2,Women/Women's Accessories/Wallets,Vera Bradley,8.0,0,Like new. No flaws
1285101,1285101,Leap pad learning system,3,Kids/Toys/Learning & Education,Leap Frog,25.0,0,"Comes with the learning system, 5 books and 4 cartridges. It Doesn't need the cartridges for the books to work. In great condition for being used. Some torn pages but don't affect the usage. Comes with a carrying case."
425061,425061,2.6qt insulated pump pot,3,Home/Kitchen & Dining/Coffee & Tea Accessories,Stanley,15.0,0,"Brand new stainless steel insulated pump pot 2.6qt Stanley brand **notice this item has a small defect but it is still 100% functional** Picture 2 the plastic piece that clamps the lid down tight broke but the lid still clamps down and works perfectly fine without it! Any questions feel free to ask, thank you! Bought from Home goods for 30$ Original price is 50$ plus."
351922,351922,Coach diaper bag,3,Kids/Diapering/Diaper Bags,,46.0,0,NO FREE SHIP AND NO I CANT LOWER There are some stains inside bag and some also on the the diaper mat as well other then the few stains bags is in good condition
1274804,1274804,Glee season 1-3 tv show,2,Electronics/Media/DVD,,10.0,0,Like new never watched.
556683,556683,Jordan eclipse NEW. (9Y),1,Sports & Outdoors/Exercise/Fitness accessories,Jordan,45.0,0,"Size 9 Y , 27 cm , (10 in women's) new without box ✅FIRM PRICE NO FREE SHIPPING (⚡️I have a lot of Nike deals, visit my closet ⚡️)"
40094,40094,Cabbage Patch Kids Redhead Teeth Mattel,4,Kids/Toys/Dolls & Accessories,,13.0,0,This is cabbage patch kid made by mattel. She has replacement outfit on. No shoes. She has some marks on her face that can probably be cleaned up. She is in played with condition.
455211,455211,Large Tartan sunfunthings,1,Women/Women's Accessories/Scarves & Wraps,,34.0,0,Large tartan blanket scarf In teal. And wine leggings 100% acrylic 50x50 Price is firm no low ball offers Price is for scarf only Paired with our take me to the keys dress available in small only
1224321,1224321,TC Lularoe Pug Christmas Leggings,1,"Women/Athletic Apparel/Pants, Tights, Leggings",,59.0,1,BNWT
1460732,1460732,VS SCANDALOUS SPRAYS AND PERFUME SPRAY,1,Beauty/Fragrance/Women,Victoria's Secret,16.0,1,"Thank you for viewing my items in my store, for updates, please don't hesitate to follow me or to ask questions! This is my price. No lower prices. Please view the pictures because what is in the picture is EXACTLY what you will receive. Thanks. BOTTLES ARE 2.5oz. WHAT IS SOLD IS WHAT IS IN THE PICTURES. SOME MINOR WEAR ON THE BOTTLE FROM BEING IN STORAGE. SERIOUS INQUIRIES ONLY or I will have to block you."
502253,502253,Moca Java Shimmer Shadowsense Free Ship,1,Beauty/Makeup/Eyes,SeneGence,22.0,1,Brand new 1-3 day shipping Any purchase over [rm] comes with a sample! Any purchase over [rm] comes with a sample and gift! If you Bundle it's 10% off unless unicorn color
506879,506879,Mom Life Boutique XL Long Sleeve Shirt,2,Women/Tops & Blouses/T-Shirts,Old Navy,15.0,0,"NWOT #MOMLIFE boutique vinyl shirt - vinyl is in gold - shirt is XL - Hanes, live love comfort - super soft material. Black - Shirt reads Messy Bun , Yoga Pants , Target , Starbucks #Momlife . Purchased from a etsy shop but never worn. True to size. Stylish and cute but even better is it's such a true statement for us Mom's ;). Brand is NOT Old Navy. It's the only option I was given. Price is firm due to fees."
515975,515975,Victoria secret size 36D unlined NWT,1,Women/Underwear/Bras,Victoria's Secret,14.0,0,No description yet
1202084,1202084,"PS4 SLIM, BRAND NEW NEVER OPENED",1,Electronics/Video Games & Consoles/Consoles,Sony,260.0,1,"NEW VERSION OF PLAY STATION, PS4 SLIM. UNCHARTED 4 BUNDLE, BRAND NEW, NEVER OPENED. [rm]. FIRM ON PRICE. FREE SHIPPING."
519724,519724,Nwt vs pink,1,Women/Tops & Blouses/T-Shirts,PINK,34.0,0,Shirt size large with bling shorts size m
698165,698165,Hanna bundle,1,Women/Other/Other,,15.0,1,2 packs 614
175269,175269,Professional Ketone Urine Test Strips,1,Other/Daily & Travel items/Medical Supplies & Equipment,,5.0,1,"Ketone Strips Professional Grade Ketone Urine Test Strips for Use in Atkins Diet, Ketogenic, and Paleo Diet, Urinalysis Test Strips 99% Accuracy"
1223362,1223362,Posting for Cerelia,1,Beauty/Makeup/Other,,29.0,1,Too Faced Natural Eyes Eyeshadow Palette Stila Eyeliner (2)
981479,981479,Flip flops,1,Women/Shoes/Sandals,Old Navy,6.0,1,New!
83649,83649,Betsey Johnson wallet,4,Women/Women's Accessories/Wallets,Betsey Johnson,14.0,0,"Betsey wallet stripped black and white, used, has some scuffs around the edge by zipper, inside clean, zippers all the way around, gold inside with deep purple lining"
4002,4002,VS Scalloped brallette,1,Women/Underwear/Bras,Victoria's Secret,14.0,0,New is size small. Only selling the bralete
1110122,1110122,American Apparel Denim HW short (28),3,Women/Athletic Apparel/Shorts,American Apparel,9.0,0,"American Apparel Denim High wasted short size 28 These do have a spot or two on them, but it could be machine washed off. READY FOR LOVE ;)"
216572,216572,"Handmade soap, acne soap, natural soap",1,Beauty/Skin Care/Face,,7.0,1,"Powerful anti acne, anti blemish soap,that unclogs pores ,washes away dirt,and dead skin to reveal a clear and smooth skin. Made with toxin absorbing activated charcoal, skin tightening bentonite clay, acne curing ,exfoliating and mineral rich Dead Sea salt, an array of moisturizing and cleansing oils like coconut, safflower oil, soybean oil, conditioning Shea butter, and anti microbial lemongrass essential oil. If acne,irritating, blackheads, pimples and dull skin are any of you concerns... Then this is the soap for you."
1131315,1131315,Victoria's Secret Bombshell,1,Beauty/Fragrance/Women,Victoria's Secret,12.0,1,Brand new with tags Victoria's Secret Bombshell purfume rollerball
938005,938005,Reserved bundle,3,Kids/Boys 0-24 Mos/One-Pieces,,12.0,1,Size: 3 mo No damage Pet free smoke free home
173114,173114,Bear paw boots,3,Kids/Girls 2T-5T/Shoes,,35.0,0,"Zebra print bear paw snow boots warm just like uggs,Girls size 12,good condition"
1061446,1061446,KATE SPADE KALEIDOSCOPE GEM NECKLACE,3,Women/Jewelry/Necklaces,Kate Spade,25.0,1,WORN ONCE LIGHT TARNISHING ON TAG BEAUTIFUL GEM COLORS IN DOUBLE ROW GOLD TONE CHAIN
1432782,1432782,Wii U + Amiibo Bundle,3,Electronics/Video Games & Consoles/Video Gaming Merchandise,Nintendo,269.0,0,Selling like new Wii U with 5 games. 2 games are download. Not included are the amiibos This is a great deal. Around [rm]+ in value so asked price is fair. Lowballers will be ignored.
1313784,1313784,Iphone 6 case,2,"Electronics/Cell Phones & Accessories/Cases, Covers & Skins",,5.0,1,Kitty glittery iphone 6 case. When you shake the case the glitter moves. nothing wrong with it.Like new
908960,908960,Tarteist toolbox,1,Beauty/Makeup/Makeup Palettes,Tarte,46.0,0,Brush set & magnetic palette
252854,252854,Over the knee Guess boots,3,Women/Shoes/Boots,GUESS,59.0,0,"Black guess boots, land over the knee. Minor signs of wear otherwise in great shape!"
868423,868423,Minion footie pajamas,2,Kids/Girls 2T-5T/Other,,6.0,1,Minion footie pajamas- No known holes or stains. Worn very little before they were out grown
769768,769768,VS Unpadded Bras Medium,3,Women/Athletic Apparel/Sports Bras,Victoria's Secret,20.0,1,"Includes 6 VS/PINK bralettes All Unpadded ALL SIZE Medium!!! 1 VS PINK BLACK SPORT BRA 1 VS PINK LACE BLACK BRALETTE 1 VS FRONT CLOSE BRA 1 VS PULLOVER LOGO BRALETTE 2 VS SILKY BRALETTES 1 NWT, REST are USED IN GOOD CONDITION need to get rid of all!"
1401376,1401376,Authentic Younique Lip Bon Bon,1,Beauty/Makeup/Lips,,16.0,1,Brand new never opened color is Red Velvet Cake! Feels like a Chapstick looks like a lipstick! Thanks for looking feel free to bundle :)
121650,121650,North face vest,2,Women/Athletic Apparel/Jackets,,35.0,1,Beautiful vest so warm XS but is a but oversized so fits S! No tears or flaws. Used on winter and forgot about it...
470673,470673,55NEW SELFSEAL PRIVACYSHIELD POLYMAILER,1,Other/Office supplies/Shipping Supplies,,8.0,1,"55 Mailers Total: 20 5”x7”, 25 6”x9”, 10 9""x12” 2 Mil High Quality Self Sealing Mailers 100 % RECYCLABLE ( GO GREEN ) Self Sealing Poly Courier Shipping Mailers! UPS, FedEx & USPS APPROVED Superior tear and puncture resistance. The Privacy inner layer provides confidentiality Pressure sensitive adhesive provides a high strength durable closure, water and dirt resistant High-efficiency mailers are perfect for shipping a wide variety of non-fragile items. Water, Tear and Puncture resistant. Lightweight saves on postage High strength seams allow for over-stuffing. Fast Shipping! Buy With Confidence"
723317,723317,Bundle,1,Beauty/Hair Care/Styling Products,,61.0,0,No description yet
1181289,1181289,Harley Davidson T-shirt XL Women's,3,Women/Tops & Blouses/T-Shirts,Harley-Davidson,11.0,0,"Women's Harley Davidson T-shirt Size XL Turquoise Blue/Black 100% Cotton Freeport, Bahamas"
1230145,1230145,Famous Catalog cut out dress!,1,"Women/Dresses/Above Knee, Mini",Famous Catalog,24.0,0,Super fun cut out side and back white skater dress with pink piping! Perfect for summer!
384831,384831,Bachelorette bundle,2,Other/Other/Other,,8.0,1,"Bride to be sash, bride pun, plastic tiara and plastic wine glass with lid and straw. Also includes 2 pink bead necklaces (not pictured) The glass has never been used."
942879,942879,Lularoe TC leggings red and black,2,"Women/Athletic Apparel/Pants, Tights, Leggings",LuLaRoe,19.0,1,Lularoe Red and black TC leggings. Gorgeous! Worn once and washed per LLR recommendations. Hung to dry.
944481,944481,Bundle for Riah318,3,Women/Athletic Apparel/Shirts & Tops,,36.0,0,Limited too sweater Short sleeve jean jacket PINK Sweats
664644,664644,Bridal Ivory 3-Tier Mini Veil,1,Women/Women's Accessories/Hair Accessories,,12.0,1,Be the cutest and the most different one... Designed with a satin edge Color Ivory
1211149,1211149,Aventus Creed 4oz 120ml,3,Beauty/Fragrance/Men,Sephora,175.0,1,Hardly used Beautiful bottle 100% authentic Retails for [rm] Firm price NO offers
1168606,1168606,New Make-up sets! FreeShip!,1,Beauty/Makeup/Makeup Sets,,15.0,1,"Contour Palette & Beauty Blender Boundle All NEW & Good Quality!!! Bundle 8 Colors Contours Face Cream Makeup Concealer Palette + 4 Beauty Blender Sponges Brand new in package! [rm]. Price is firm! Material: Foundation cream Made of excellent material, safe and soft for your facial skin Combines 8 colors in one palette, can be mixed to help create different looks Used as foundation primer, foundation, concealer, camouflage and eyeshadow base Great for shading, light weight but wearable. It's great for highlight and contouring for beginners :))"
749416,749416,Large tweed duffle bag overnight travel,3,Vintage & Collectibles/Bags and Purses/Luggage,,15.0,0,Awesome bag in great shape Lined inside Sturdy and roomy Black and white tweed with red (faux) patent leather handles Reminds me of Kate spade Saturday weekender Check out my other listings for more great items and to save on shipping
86818,86818,Lululemon Crop Pants (calf length),1,"Women/Athletic Apparel/Pants, Tights, Leggings",Lululemon,39.0,0,"NWOT! Retail 98! Still being sold in the store now. A friend bought on a trip and removed the tags before noticing they were the wrong size. She doesn't have a store near her, so asked to sell them. They have a 26inch inseam which is right at the calf. I put in as much info as I know, anything else just. Ask. Fast-paced days call for a multi-functional wardrobe—these trousers were designed to go from practice to party, no changeroom necessary."
1109482,1109482,VS corset Designer collection,1,Handmade/Clothing/Lingerie,,146.0,0,32c new. Victoria's Secret
342895,342895,Sister bracelet,2,Women/Jewelry/Bracelets,,7.0,1,Sister bracelet with heart and infinity
1353481,1353481,Patagonia size L,2,Women/Coats & Jackets/Fleece Jacket,patagonia,51.0,0,"Patagonia, fuzzy, coral, size large, no signs of wear"
377209,377209,FREE S/H Grandma's Explorer outfit 12 mo,3,Kids/Boys 0-24 Mos/One-Pieces,Carter's,5.0,1,*[rm] if bundled with another item* Perfect for grandma's baby! Navy blue long sleeve onesie and camo pants. Size 12 months. In gently used condition. From a pet free and smoke free home.
147011,147011,American Eagle Flannel Small,2,Women/Tops & Blouses/Button Down Shirt,American Eagle,13.0,1,No description yet
946542,946542,iPhone 6 32gb space grey,1,Electronics/Cell Phones & Accessories/Cell Phones & Smartphones,Apple,226.0,0,Locked only for (Boost virgin sprint carrier )but can be unlocked
481979,481979,"Lularoe OS floral, Randy M outfit",1,"Women/Athletic Apparel/Pants, Tights, Leggings",,56.0,1,NWT Lularoe Randy size Med and OS floral leggings. Leggings made in Indonesia. Smoke free home FREE SHIPPING!!!
123590,123590,Rae Dunn Yum And Munch Bowl Colored,1,Home/Kitchen & Dining/Dining & Entertaining,Rae Dunn,26.0,0,"Brand New Rae Dunn yum and munch bowl, colored. Item pictured is one you will receive. No Returns. Will package with care but not responsible for item once shipped. Rae items may have marks flaws that make them unique."
